transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Matlab,16,Pair 16,1,2582,965,1.273590088,4.436022758,0.227860391,2616.129443,1008.569645,55.345577
2k_Matlab,16,Pair 16,2,866,661,-2.702931881,5.861323357,1.04803896,811.5761129,640.909383,58.01372582
2k_Matlab,16,Pair 16,3,914,732,-2.164156675,5.712397099,0.787677705,1016.588936,748.1489762,103.852199
2k_Matlab,16,Pair 16,4,868,730,-2.721180201,5.901352406,0.861826003,810.2180802,720.1795588,58.61050526
2k_Matlab,17,Pair 17,1,2780,1010,1.578719497,4.393350124,0.145358473,2791.665468,1056.251974,47.70040079
2k_Matlab,17,Pair 17,2,3450,871,2.242145061,3.485551357,0.355745584,3469.538001,926.8393094,59.15878609
2k_Matlab,18,Pair 18,1,432,1186,-1.764425516,2.69074893,-0.06229718,434.464439,1180.844479,5.714268063
2k_Matlab,18,Pair 18,2,626,1640,-1.432673693,2.50632,-0.529504359,632.1704246,1621.601992,19.4051755
2k_Matlab,18,Pair 18,3,828,1588,-1.266008019,2.653071642,-0.513295233,842.4883029,1580.740014,16.20550246
2k_Matlab,18,Pair 18,4,2086,454,0.243618459,3.968923092,1.05041182,2091.546056,506.9973051,53.28670649
2k_Matlab,18,Pair 18,5,2836,965,3.177153349,8.163993835,0.420374274,2882.645202,977.1076438,48.19097311
2k_Matlab,19,Pair 19,1,1590,790,-0.997787118,8.747796059,0.986580312,1647.263946,801.6630512,58.4395951
2k_Matlab,20,Pair 20,1,1316,1115,-0.661009669,2.466170073,-0.004089604,1348.664114,1158.383501,54.30536337
2k_Matlab,20,Pair 20,2,2084,1135,0.163499698,2.667270422,-0.04203181,2084.009987,1196.743342,61.74334304
2k_Matlab,20,Pair 20,3,934,1246,-1.413321733,3.329986095,-0.204824403,945.5184043,1260.473914,18.49777897
2k_Matlab,20,Pair 20,4,1080,1015,-1.362742543,3.793680668,0.132839695,1093.55907,1027.188848,18.23228995
2k_Matlab,21,Pair 21,1,2018,593,0.389567763,9.859386444,1.928168058,2023.174896,601.8730014,10.27179162
2k_Matlab,21,Pair 21,2,1086,1139,-1.334685564,3.666197538,-0.063174397,1082.564474,1151.969848,13.417146
2k_Matlab,21,Pair 21,3,390,923,-1.77546382,2.656670332,0.204990715,412.4984075,951.2780694,36.13623595
