transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_manual_50_wC,17,Pair 17,1,2780,1010,1.578719497,4.393350124,0.145358473,2774.530582,1021.157291,12.42576664
2k_manual_50_wC,17,Pair 17,2,3450,871,2.242145061,3.485551357,0.355745584,3450.587163,874.5771156,3.624984998
2k_manual_50_wC,18,Pair 18,1,432,1186,-1.764425516,2.69074893,-0.06229718,413.1507581,1169.420578,25.10320985
2k_manual_50_wC,18,Pair 18,2,626,1640,-1.432673693,2.50632,-0.529504359,600.838598,1615.007405,35.4644325
2k_manual_50_wC,18,Pair 18,3,828,1588,-1.266008019,2.653071642,-0.513295233,819.6417413,1570.866695,19.0633322
2k_manual_50_wC,18,Pair 18,4,2086,454,0.243618459,3.968923092,1.05041182,2079.448618,490.4803865,37.06398786
2k_manual_50_wC,18,Pair 18,5,2836,965,3.177153349,8.163993835,0.420374274,2836.882944,957.7603063,7.293336349
2k_manual_50_wC,19,Pair 19,1,1590,790,-0.997787118,8.747796059,0.986580312,1673.289433,815.2938721,87.04544565
2k_manual_50_wC,20,Pair 20,1,1316,1115,-0.661009669,2.466170073,-0.004089604,1318.99227,1130.408464,15.69631904
2k_manual_50_wC,20,Pair 20,2,2084,1135,0.163499698,2.667270422,-0.04203181,2079.356676,1159.836438,25.26675936
2k_manual_50_wC,20,Pair 20,3,934,1246,-1.413321733,3.329986095,-0.204824403,950.361932,1246.203124,16.36319282
2k_manual_50_wC,20,Pair 20,4,1080,1015,-1.362742543,3.793680668,0.132839695,1106.971359,1016.368949,27.00607717
2k_manual_50_wC,21,Pair 21,1,2018,593,0.389567763,9.859386444,1.928168058,2021.655017,625.6626439,32.86650962
2k_manual_50_wC,21,Pair 21,2,1086,1139,-1.334685564,3.666197538,-0.063174397,1094.79224,1138.359833,8.81551436
2k_manual_50_wC,21,Pair 21,3,390,923,-1.77546382,2.656670332,0.204990715,386.4798339,937.738183,15.15274252
2k_manual_50_wC,21,Pair 21,4,2164,1177,0.264250576,2.615741014,-0.090596564,2171.672491,1205.524523,29.53837342
2k_manual_50_wC,22,Pair 22,1,2766,1411,1.230587959,3.429121733,-0.423061788,2778.856146,1400.493355,16.60331508
2k_manual_50_wC,22,Pair 22,2,1514,974,-0.580147922,4.127464294,0.160920829,1614.447511,1006.050071,105.4367559
2k_manual_50_wC,23,Pair 23,1,2798,1443,1.428974986,3.823756218,-0.519676387,2811.974383,1423.598564,23.91023032
2k_manual_50_wC,23,Pair 23,2,1426,1096,-0.601715386,2.71462822,-0.003285409,1427.683874,1122.080194,26.13449784
2k_manual_50_wC,23,Pair 23,3,2206,1034,0.3785097,3.449705839,0.093907297,2187.73805,1044.819072,21.22618978
2k_manual_50_wC,23,Pair 23,4,620,1556,-1.589001894,2.807316065,-0.519154429,615.2893727,1544.087665,12.809908
2k_manual_50_wC,24,Pair 24,1,2618,518,2.043557882,7.112775803,1.659160376,2601.106813,539.997769,27.73592627
2k_manual_50_wC,24,Pair 24,2,2058,653,0.337926328,6.431075096,1.134203911,2053.097065,678.9707068,26.42946055
2k_manual_50_wC,24,Pair 24,3,1300,1010,-1.193648458,4.378315926,0.114345171,1310.202407,1030.938902,23.29220314
2k_manual_50_wC,25,Pair 25,1,1280,1357,-0.67865169,2.364202976,-0.240769699,1271.548669,1366.3593,12.6103724
2k_manual_50_wC,25,Pair 25,2,828,1561,-1.431928158,3.033917904,-0.557584167,834.0874374,1537.058448,24.70333583
2k_manual_50_wC,25,Pair 25,3,582,970,-1.84900701,3.170248985,0.200664908,578.7403729,958.2523912,12.19145114
2k_manual_50_wC,26,Pair 26,1,3492,1678,1.418410897,2.184612513,-0.457301497,3465.998316,1639.21623,46.69334447
2k_manual_50_wC,26,Pair 26,2,2318,1306,0.499326915,2.906659126,-0.260213494,2335.063053,1326.033341,26.31506288
2k_manual_50_wC,26,Pair 26,3,2036,1068,0.122553989,3.502087831,-0.188121364,2014.884196,1227.612309,161.0030009
2k_manual_50_wC,29,Pair 29,1,2374,1293,0.913406491,6.288268089,-0.554604769,2262.158805,1281.888872,112.3917708
2k_manual_50_wC,30,Pair 30,1,370,873,-4.500569344,5.266636372,0.565169275,67.20026054,842.0564562,304.3767158
2k_manual_50_wC,30,Pair 30,2,1768,1036,-0.635668516,7.657513618,0.059359528,1743.088175,1055.481479,31.62478496
2k_manual_50_wC,30,Pair 30,3,932,1250,-3.222494602,7.236100197,-0.526938558,906.7612882,1237.618636,28.11211019
2k_manual_50_wC,31,Pair 31,1,1060,1451,-2.451100588,6.547836781,-1.012145281,1070.299731,1428.276547,24.94874321
2k_manual_50_wC,31,Pair 31,2,1734,1606,-0.620961785,7.471808434,-1.661425352,1739.150652,1578.310464,28.16451028
2k_manual_50_wC,32,Pair 32,1,1628,1488,-0.831801713,7.01644516,-1.195568919,1659.813039,1460.784296,41.86602437
2k_manual_50_wC,32,Pair 32,2,2056,1835,0.388932377,6.341479301,-1.976750374,2069.706807,1795.574909,41.73984167
2k_manual_50_wC,36,Pair 36,1,628,1250,-2.160076618,3.936044693,-0.251130134,660.3758912,1240.762741,33.66786713
2k_manual_50_wC,36,Pair 36,2,2096,1511,0.725066602,9.195584297,-1.686050415,2107.352194,1486.224026,27.2529121
2k_manual_50_wC,37,Pair 37,1,482,1668,-5.078583717,8.125874519,-2.047044754,500.0526101,1639.326806,33.88286893
2k_manual_50_wC,37,Pair 37,2,1704,1128,-0.364478946,3.786136389,-0.023307888,1715.357736,1113.308371,18.56992602
2k_manual_50_wC,37,Pair 37,3,2038,1147,0.209737122,3.98927331,-0.081072763,2054.015023,1144.574774,16.19761402
2k_manual_50_wC,39,Pair 39,1,1798,1117,-0.554783821,9.764578819,-0.192815453,1801.248555,1111.984053,5.976021752
2k_manual_50_wC,39,Pair 39,2,1000,460,-1.55228436,3.746417522,0.976319849,974.7150165,493.0139844,41.5842946
2k_manual_50_wC,40,Pair 40,1,1668,417,-0.454003364,2.865203857,1.063067675,1572.310588,252.8994186,189.9617445
2k_manual_50_wC,41,Pair 41,1,1432,1683,-0.629106939,2.895113468,-0.693336129,1430.815284,1669.444056,13.60761405
2k_manual_50_wC,42,Pair 42,1,1472,1999,-0.634747803,3.261282206,-1.232457399,1478.672022,1986.885208,13.83054822
2k_manual_50_wC,43,Pair 43,1,1828,850,-0.365855366,8.363074303,0.77884239,1832.236969,861.5464461,12.2992814
2k_manual_50_wC,43,Pair 43,2,782,1087,-1.758696198,3.606682301,0.023494866,802.855745,1083.423262,21.16022571
2k_manual_50_wD,1,Pair 1,1,582,940,-1.755182266,2.979001284,0.215976402,584.8432606,950.7845875,11.15309184
